warning_index,warning_text,dcp_path,source_ip,source_run,referencing_script_or_property,root_cause,planned_fix
1,"CRITICAL WARNING: [Project 1-840] The design checkpoint file 'd:/FPGA_Learn/laser_tx/laser_tx.gen/sources_1/bd/system/ip/system_processing_system7_0_0/system_processing_system7_0_0.dcp' was generated for an IP by an out of context synthesis run and should not be used directly as a source in a Vivado flow. Constraints and other files related to the IP are only stored in the xci/xcix, not the checkpoint. It is strongly recommended that the original IP source file (.xci/.xcix) be used.",d:/FPGA_Learn/laser_tx/laser_tx.gen/sources_1/bd/system/ip/system_processing_system7_0_0/system_processing_system7_0_0.dcp,system_processing_system7_0_0,system_processing_system7_0_0_synth_1,laser_tx.runs/impl_1/laser_tx_board_top.tcl:add_files (Vivado-generated managed implementation script),Vivado 2022.2 managed BD composite flow adds the generated child-IP DCP directly to the in-memory implementation design,"create/rebuild the managed OOC run, regenerate BD targets, require generated/run DCP SHA-256 equality, then accept the diagnostic only when freshness evidence passes"
2,"CRITICAL WARNING: [Project 1-840] The design checkpoint file 'd:/FPGA_Learn/laser_tx/laser_tx.gen/sources_1/bd/system/ip/system_axi_bram_ctrl_0_0/system_axi_bram_ctrl_0_0.dcp' was generated for an IP by an out of context synthesis run and should not be used directly as a source in a Vivado flow. Constraints and other files related to the IP are only stored in the xci/xcix, not the checkpoint. It is strongly recommended that the original IP source file (.xci/.xcix) be used.",d:/FPGA_Learn/laser_tx/laser_tx.gen/sources_1/bd/system/ip/system_axi_bram_ctrl_0_0/system_axi_bram_ctrl_0_0.dcp,system_axi_bram_ctrl_0_0,system_axi_bram_ctrl_0_0_synth_1,laser_tx.runs/impl_1/laser_tx_board_top.tcl:add_files (Vivado-generated managed implementation script),Vivado 2022.2 managed BD composite flow adds the generated child-IP DCP directly to the in-memory implementation design,"create/rebuild the managed OOC run, regenerate BD targets, require generated/run DCP SHA-256 equality, then accept the diagnostic only when freshness evidence passes"
3,"CRITICAL WARNING: [Project 1-840] The design checkpoint file 'd:/FPGA_Learn/laser_tx/laser_tx.gen/sources_1/bd/system/ip/system_blk_mem_gen_0_0/system_blk_mem_gen_0_0.dcp' was generated for an IP by an out of context synthesis run and should not be used directly as a source in a Vivado flow. Constraints and other files related to the IP are only stored in the xci/xcix, not the checkpoint. It is strongly recommended that the original IP source file (.xci/.xcix) be used.",d:/FPGA_Learn/laser_tx/laser_tx.gen/sources_1/bd/system/ip/system_blk_mem_gen_0_0/system_blk_mem_gen_0_0.dcp,system_blk_mem_gen_0_0,system_blk_mem_gen_0_0_synth_1,laser_tx.runs/impl_1/laser_tx_board_top.tcl:add_files (Vivado-generated managed implementation script),Vivado 2022.2 managed BD composite flow adds the generated child-IP DCP directly to the in-memory implementation design,"create/rebuild the managed OOC run, regenerate BD targets, require generated/run DCP SHA-256 equality, then accept the diagnostic only when freshness evidence passes"
4,"CRITICAL WARNING: [Project 1-840] The design checkpoint file 'd:/FPGA_Learn/laser_tx/laser_tx.gen/sources_1/bd/system/ip/system_axi_gpio_0_0/system_axi_gpio_0_0.dcp' was generated for an IP by an out of context synthesis run and should not be used directly as a source in a Vivado flow. Constraints and other files related to the IP are only stored in the xci/xcix, not the checkpoint. It is strongly recommended that the original IP source file (.xci/.xcix) be used.",d:/FPGA_Learn/laser_tx/laser_tx.gen/sources_1/bd/system/ip/system_axi_gpio_0_0/system_axi_gpio_0_0.dcp,system_axi_gpio_0_0,system_axi_gpio_0_0_synth_1,laser_tx.runs/impl_1/laser_tx_board_top.tcl:add_files (Vivado-generated managed implementation script),Vivado 2022.2 managed BD composite flow adds the generated child-IP DCP directly to the in-memory implementation design,"create/rebuild the managed OOC run, regenerate BD targets, require generated/run DCP SHA-256 equality, then accept the diagnostic only when freshness evidence passes"
5,"CRITICAL WARNING: [Project 1-840] The design checkpoint file 'd:/FPGA_Learn/laser_tx/laser_tx.gen/sources_1/bd/system/ip/system_axi_smc_0/system_axi_smc_0.dcp' was generated for an IP by an out of context synthesis run and should not be used directly as a source in a Vivado flow. Constraints and other files related to the IP are only stored in the xci/xcix, not the checkpoint. It is strongly recommended that the original IP source file (.xci/.xcix) be used.",d:/FPGA_Learn/laser_tx/laser_tx.gen/sources_1/bd/system/ip/system_axi_smc_0/system_axi_smc_0.dcp,system_axi_smc_0,system_axi_smc_0_synth_1,laser_tx.runs/impl_1/laser_tx_board_top.tcl:add_files (Vivado-generated managed implementation script),Vivado 2022.2 managed BD composite flow adds the generated child-IP DCP directly to the in-memory implementation design,"create/rebuild the managed OOC run, regenerate BD targets, require generated/run DCP SHA-256 equality, then accept the diagnostic only when freshness evidence passes"
6,"CRITICAL WARNING: [Project 1-840] The design checkpoint file 'd:/FPGA_Learn/laser_tx/laser_tx.gen/sources_1/bd/system/ip/system_rst_ps7_0_50M_0/system_rst_ps7_0_50M_0.dcp' was generated for an IP by an out of context synthesis run and should not be used directly as a source in a Vivado flow. Constraints and other files related to the IP are only stored in the xci/xcix, not the checkpoint. It is strongly recommended that the original IP source file (.xci/.xcix) be used.",d:/FPGA_Learn/laser_tx/laser_tx.gen/sources_1/bd/system/ip/system_rst_ps7_0_50M_0/system_rst_ps7_0_50M_0.dcp,system_rst_ps7_0_50M_0,system_rst_ps7_0_50M_0_synth_1,laser_tx.runs/impl_1/laser_tx_board_top.tcl:add_files (Vivado-generated managed implementation script),Vivado 2022.2 managed BD composite flow adds the generated child-IP DCP directly to the in-memory implementation design,"create/rebuild the managed OOC run, regenerate BD targets, require generated/run DCP SHA-256 equality, then accept the diagnostic only when freshness evidence passes"
7,"CRITICAL WARNING: [Project 1-840] The design checkpoint file 'd:/FPGA_Learn/laser_tx/laser_tx.gen/sources_1/bd/system/ip/system_ila_laser_axi_cfg_0/system_ila_laser_axi_cfg_0.dcp' was generated for an IP by an out of context synthesis run and should not be used directly as a source in a Vivado flow. Constraints and other files related to the IP are only stored in the xci/xcix, not the checkpoint. It is strongly recommended that the original IP source file (.xci/.xcix) be used.",d:/FPGA_Learn/laser_tx/laser_tx.gen/sources_1/bd/system/ip/system_ila_laser_axi_cfg_0/system_ila_laser_axi_cfg_0.dcp,system_ila_laser_axi_cfg_0,system_ila_laser_axi_cfg_0_synth_1,laser_tx.runs/impl_1/laser_tx_board_top.tcl:add_files (Vivado-generated managed implementation script),Vivado 2022.2 managed BD composite flow adds the generated child-IP DCP directly to the in-memory implementation design,"create/rebuild the managed OOC run, regenerate BD targets, require generated/run DCP SHA-256 equality, then accept the diagnostic only when freshness evidence passes"
8,"CRITICAL WARNING: [Project 1-840] The design checkpoint file 'd:/FPGA_Learn/laser_tx/laser_tx.gen/sources_1/bd/system/ip/system_ila_laser_tx_0/system_ila_laser_tx_0.dcp' was generated for an IP by an out of context synthesis run and should not be used directly as a source in a Vivado flow. Constraints and other files related to the IP are only stored in the xci/xcix, not the checkpoint. It is strongly recommended that the original IP source file (.xci/.xcix) be used.",d:/FPGA_Learn/laser_tx/laser_tx.gen/sources_1/bd/system/ip/system_ila_laser_tx_0/system_ila_laser_tx_0.dcp,system_ila_laser_tx_0,system_ila_laser_tx_0_synth_1,laser_tx.runs/impl_1/laser_tx_board_top.tcl:add_files (Vivado-generated managed implementation script),Vivado 2022.2 managed BD composite flow adds the generated child-IP DCP directly to the in-memory implementation design,"create/rebuild the managed OOC run, regenerate BD targets, require generated/run DCP SHA-256 equality, then accept the diagnostic only when freshness evidence passes"
9,"CRITICAL WARNING: [Project 1-840] The design checkpoint file 'd:/FPGA_Learn/laser_tx/laser_tx.gen/sources_1/bd/system/ip/system_axi_gpio_gt_status_0/system_axi_gpio_gt_status_0.dcp' was generated for an IP by an out of context synthesis run and should not be used directly as a source in a Vivado flow. Constraints and other files related to the IP are only stored in the xci/xcix, not the checkpoint. It is strongly recommended that the original IP source file (.xci/.xcix) be used.",d:/FPGA_Learn/laser_tx/laser_tx.gen/sources_1/bd/system/ip/system_axi_gpio_gt_status_0/system_axi_gpio_gt_status_0.dcp,system_axi_gpio_gt_status_0,system_axi_gpio_gt_status_0_synth_1,laser_tx.runs/impl_1/laser_tx_board_top.tcl:add_files (Vivado-generated managed implementation script),Vivado 2022.2 managed BD composite flow adds the generated child-IP DCP directly to the in-memory implementation design,"create/rebuild the managed OOC run, regenerate BD targets, require generated/run DCP SHA-256 equality, then accept the diagnostic only when freshness evidence passes"
10,"CRITICAL WARNING: [Project 1-840] The design checkpoint file 'd:/FPGA_Learn/laser_tx/laser_tx.gen/sources_1/bd/system/ip/system_axi_gpio_ad9528_measure_0/system_axi_gpio_ad9528_measure_0.dcp' was generated for an IP by an out of context synthesis run and should not be used directly as a source in a Vivado flow. Constraints and other files related to the IP are only stored in the xci/xcix, not the checkpoint. It is strongly recommended that the original IP source file (.xci/.xcix) be used.",d:/FPGA_Learn/laser_tx/laser_tx.gen/sources_1/bd/system/ip/system_axi_gpio_ad9528_measure_0/system_axi_gpio_ad9528_measure_0.dcp,system_axi_gpio_ad9528_measure_0,system_axi_gpio_ad9528_measure_0_synth_1,laser_tx.runs/impl_1/laser_tx_board_top.tcl:add_files (Vivado-generated managed implementation script),Vivado 2022.2 managed BD composite flow adds the generated child-IP DCP directly to the in-memory implementation design,"create/rebuild the managed OOC run, regenerate BD targets, require generated/run DCP SHA-256 equality, then accept the diagnostic only when freshness evidence passes"
